Length,Time
500000,0.071626
1000000,0.167113
1500000,0.250542
2000000,0.331787
2500000,0.414227
3000000,0.498250
3500000,0.580497
4000000,0.662539
4500000,0.745937
5000000,0.829039
5500000,0.913220
6000000,0.995090
6500000,1.079643
7000000,1.161817
7500000,1.258220
8000000,1.333683
8500000,1.485398
9000000,1.572536
9500000,1.661903
10000000,1.994195
