Length,Time
500000,0.025982
1000000,0.052583
1500000,0.079632
2000000,0.106805
2500000,0.134652
3000000,0.161705
3500000,0.189394
4000000,0.217015
4500000,0.245641
5000000,0.273418
5500000,0.301549
6000000,0.329754
6500000,0.357245
7000000,0.385756
7500000,0.414125
8000000,0.441731
8500000,0.470405
9000000,0.499021
9500000,0.543184
10000000,0.573085
