Length,Time
0,0
500000,0.071344
1000000,0.166525
1500000,0.249476
2000000,0.331551
2500000,0.414428
3000000,0.499679
3500000,0.583173
4000000,0.666151
4500000,0.753809
5000000,0.838603
5500000,0.914791
6000000,1.000530
6500000,1.081798
7000000,1.169215
7500000,1.252235
8000000,1.335465
8500000,1.488741
9000000,1.575901
9500000,1.664421
10000000,1.999522
