Length,Time
500000,0.030025
1000000,0.062634
1500000,0.096857
2000000,0.130381
2500000,0.161299
3000000,0.196787
3500000,0.230506
4000000,0.264972
4500000,0.299724
5000000,0.335707
5500000,0.372253
6000000,0.409541
6500000,0.443597
7000000,0.479210
7500000,0.514163
8000000,0.556302
8500000,0.595860
9000000,0.632257
9500000,0.669813
10000000,0.707390
