Length,Time
0,0
1500,0.000062
3000,0.000131
4500,0.000204
6000,0.000278
7500,0.000354
9000,0.000434
10500,0.000510
12000,0.000591
13500,0.000670
15000,0.000752
16500,0.000837
18000,0.000923
19500,0.001008
21000,0.001096
22500,0.001179
24000,0.001268
25500,0.001353
27000,0.001445
28500,0.001526
30000,0.001616
