Length,Time
0,0
500000,0.361671
1000000,0.392423
1500000,0.428182
2000000,0.464907
2500000,0.501958
3000000,0.544404
3500000,0.597362
4000000,0.626418
4500000,0.666688
5000000,0.712307
5500000,0.741223
6000000,0.802819
6500000,0.822045
7000000,0.858737
7500000,0.903090
8000000,0.964554
8500000,0.983680
9000000,1.045351
9500000,1.073833
10000000,1.130906
