Length,Time
0,0
1500,0.000097
3000,0.000207
4500,0.000329
6000,0.000448
7500,0.000566
9000,0.000690
10500,0.000817
12000,0.000943
13500,0.001070
15000,0.001195
16500,0.001323
18000,0.001460
19500,0.001592
21000,0.001725
22500,0.001847
24000,0.001968
25500,0.002105
27000,0.002219
28500,0.002357
30000,0.002500
