Length,Time
1500,0.000043
3000,0.000087
4500,0.000135
6000,0.000181
7500,0.000229
9000,0.000277
10500,0.000326
12000,0.000374
13500,0.000422
15000,0.000472
16500,0.000521
18000,0.000571
19500,0.000621
21000,0.000672
22500,0.000722
24000,0.000773
25500,0.000823
27000,0.000874
28500,0.000923
30000,0.000976
