Length,Time
0,0
1500,0.001315
3000,0.005203
4500,0.011681
6000,0.020789
7500,0.032367
9000,0.046580
10500,0.063426
12000,0.082796
13500,0.104790
15000,0.129378
16500,0.156581
18000,0.186397
19500,0.218720
21000,0.253663
22500,0.291164
24000,0.337358
25500,0.381044
27000,0.425125
28500,0.475938
30000,0.527408
