Length,Time
1500,0.001252
3000,0.004955
4500,0.011116
6000,0.019773
7500,0.030713
9000,0.044231
10500,0.060236
12000,0.078633
13500,0.099565
15000,0.122992
16500,0.148866
18000,0.177209
19500,0.208033
21000,0.241267
22500,0.276982
24000,0.314338
25500,0.362889
27000,0.404747
28500,0.453110
30000,0.502140
