Length,Time
500000,0.044675
1000000,0.092372
1500000,0.144890
2000000,0.196198
2500000,0.249093
3000000,0.300481
3500000,0.357228
4000000,0.415952
4500000,0.459405
5000000,0.519118
5500000,0.584639
6000000,0.629674
6500000,0.691328
7000000,0.749874
7500000,0.794780
8000000,0.853358
8500000,0.893971
9000000,0.964751
9500000,1.011692
10000000,1.071644
