Length,Time
500000,0.005297
1000000,0.010676
1500000,0.015955
2000000,0.021140
2500000,0.026665
3000000,0.032929
3500000,0.038720
4000000,0.044086
4500000,0.050040
5000000,0.055680
5500000,0.060080
6000000,0.065271
6500000,0.071131
7000000,0.076679
7500000,0.082967
8000000,0.088677
8500000,0.093991
9000000,0.099880
9500000,0.104868
10000000,0.110113
