Length,Time
500000,0.029848
1000000,0.062155
1500000,0.095746
2000000,0.128092
2500000,0.161992
3000000,0.202290
3500000,0.236912
4000000,0.278580
4500000,0.308188
5000000,0.346660
5500000,0.384666
6000000,0.422344
6500000,0.449402
7000000,0.485848
7500000,0.529516
8000000,0.567877
8500000,0.607698
9000000,0.645079
9500000,0.683327
10000000,0.720952
