Length,Time
0,0
1500,0.000059
3000,0.000125
4500,0.000192
6000,0.000258
7500,0.000323
9000,0.000384
10500,0.000454
12000,0.000527
13500,0.000598
15000,0.000664
16500,0.000733
18000,0.000801
19500,0.000860
21000,0.000930
22500,0.000999
24000,0.001059
25500,0.001129
27000,0.001197
28500,0.001266
30000,0.001338
